timestamp,asset_id,latitude,longitude,inventory_level,shipment_status,temperature,humidity,traffic_status,waiting_time,user_transaction_amount,user_purchase_frequency,logistics_delay_reason,asset_utilization,demand_forecast,logistics_delay,month,dow,hour
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390,delayed,27.0,67.8,Detour,38,320,4,nan,60.1,285,1,3,2,0
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491,in transit,22.5,54.3,Heavy,16,439,7,weather,80.9,174,1,10,2,7
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190,in transit,25.2,62.2,Detour,34,355,3,nan,99.2,260,0,7,0,18
2024-10-28 00:50:54,Truck_9,42.39,-1.4788,330,delivered,25.4,52.3,Heavy,37,227,5,traffic,97.4,160,1,10,0,0
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480,delayed,20.5,57.2,Clear,56,197,6,nan,71.6,270,1,9,4,15
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118,in transit,24.3,61.8,Clear,56,258,10,nan,66.8,189,0,9,1,6
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,delayed,20.7,75.4,Clear,32,263,3,nan,73.3,198,1,2,0,8
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222,in transit,23.3,64.2,Detour,30,459,9,traffic,73.8,253,0,9,5,9
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,delivered,26.4,77.2,Clear,14,183,2,nan,69.6,206,0,1,3,8
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389,in transit,21.9,57.3,Clear,52,127,7,mechanical failure,63.1,224,0,11,5,0
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,delayed,22.0,53.5,Clear,28,360,4,nan,69.8,171,1,1,1,23
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,delivered,29.7,63.6,Detour,13,406,10,traffic,85.5,238,0,2,4,22
2024-02-17 21:14:42,Truck_8,-65.526,-3.0202,154,in transit,21.5,74.2,Detour,38,215,3,weather,84.4,114,0,2,5,21
2024-03-04 06:44:50,Truck_2,-26.1836,-30.3641,348,delivered,27.3,71.6,Detour,30,211,2,nan,96.4,115,0,3,0,6
2024-08-28 12:19:14,Truck_3,2.6709,-80.8879,163,in transit,25.1,76.8,Heavy,54,320,5,weather,93.2,231,1,8,2,12
2024-01-04 22:52:43,Truck_5,-22.4793,-54.5143,130,delayed,23.7,68.1,Clear,45,487,4,traffic,84.1,256,1,1,3,22
2024-10-30 17:52:03,Truck_4,-34.5353,-40.8617,391,delayed,21.6,72.5,Clear,58,298,7,traffic,61.5,170,1,10,2,17
2024-07-15 15:42:02,Truck_7,-8.7105,-17.8347,344,delayed,21.4,53.5,Detour,23,461,9,nan,93.4,106,1,7,0,15
2024-01-19 06:42:30,Truck_5,14.6629,116.0696,409,delayed,27.5,66.6,Detour,29,492,3,nan,72.6,204,1,1,4,6
2024-04-28 21:23:34,Truck_10,75.7743,108.9425,457,in transit,25.5,75.9,Clear,21,315,3,traffic,83.4,248,0,4,6,21
2024-03-06 20:00:26,Truck_5,50.3419,108.5647,207,delivered,29.3,59.4,Detour,31,174,5,mechanical failure,65.9,195,0,3,2,20
2024-11-20 16:38:07,Truck_8,-6.6729,132.6727,155,delivered,19.4,53.2,Heavy,20,152,1,mechanical failure,99.3,235,1,11,2,16
2024-01-07 09:13:28,Truck_6,-74.1751,-102.7331,314,delivered,19.9,64.8,Detour,57,396,10,weather,78.6,135,0,1,6,9
2024-09-25 15:12:12,Truck_10,-33.2264,169.6187,156,in transit,27.2,74.4,Clear,35,354,2,weather,63.1,282,0,9,2,15
2024-02-11 13:30:18,Truck_2,-34.4469,93.1585,119,in transit,28.1,72.4,Detour,41,176,2,nan,60.9,238,0,2,6,13
2024-11-20 11:22:13,Truck_3,-13.511,141.8454,112,in transit,19.7,76.6,Detour,22,121,3,traffic,80.9,262,0,11,2,11
2024-06-25 02:26:25,Truck_3,-22.427,108.2306,435,delivered,25.8,78.6,Heavy,22,220,7,traffic,90.8,101,1,6,1,2
2024-06-25 00:01:12,Truck_9,43.3353,-12.0683,422,delivered,20.0,62.9,Heavy,14,184,9,traffic,64.0,248,1,6,1,0
2024-05-02 02:33:56,Truck_4,-66.7517,161.45,353,in transit,20.5,52.0,Heavy,26,392,7,traffic,76.4,155,1,5,3,2
2024-08-10 00:04:40,Truck_8,-65.7349,-173.3011,299,delayed,23.9,50.1,Heavy,17,315,6,nan,88.3,252,1,8,5,0
2024-05-13 03:20:21,Truck_1,-55.4768,18.2551,261,delayed,22.5,78.4,Clear,41,209,6,mechanical failure,71.8,240,1,5,0,3
