timestamp,asset_id,latitude,longitude,inventory_level,temperature,humidity,traffic_status,waiting_time,user_transaction_amount,user_purchase_frequency,asset_utilization,demand_forecast,logistics_delay,month,dow,hour,is_weekend_delivery,is_peak_season,asset_delay_rate_30d,shipment_status_delivered,shipment_status_in transit,logistics_delay_reason_traffic,logistics_delay_reason_weather
2024-01-01 11:37:57,Truck_4,-59.0753,68.4886,303,24.6,68.6,Detour,50,213,6,97.1,297,0,1,0,11,0,0,,False,True,False,False
2024-01-01 17:34:48,Truck_10,-13.9612,89.5342,174,20.2,74.2,Detour,49,403,5,83.5,227,1,1,0,17,0,0,,False,False,False,False
2024-01-01 18:29:17,Truck_3,88.7652,-178.2706,179,25.5,70.9,Detour,12,427,9,60.3,157,1,1,0,18,0,0,,False,False,False,False
2024-01-02 07:22:55,Truck_2,-61.8546,43.8074,106,26.7,53.3,Detour,39,128,5,88.0,117,0,1,1,7,0,0,,True,False,False,True
2024-01-02 15:30:44,Truck_4,-36.487,14.5024,372,20.4,57.2,Clear,29,153,1,78.2,221,1,1,1,15,0,0,0.0,False,False,False,True
2024-01-02 22:19:42,Truck_7,-68.3909,-122.557,341,21.3,76.2,Heavy,58,429,3,78.6,178,1,1,1,22,0,0,,False,True,False,False
2024-01-03 11:20:33,Truck_7,5.9541,-156.4873,237,29.2,56.2,Detour,15,251,3,76.3,198,0,1,2,11,0,0,1.0,True,False,False,True
2024-01-03 12:49:48,Truck_10,-35.4329,9.9153,308,25.2,52.5,Heavy,19,475,8,95.0,206,1,1,2,12,0,0,1.0,False,False,False,False
2024-01-03 13:08:23,Truck_10,-43.2004,134.8572,191,24.0,59.7,Clear,51,268,8,97.0,111,0,1,2,13,0,0,1.0,False,True,False,False
2024-01-04 03:12:31,Truck_4,-50.7085,-85.4515,173,23.1,56.0,Heavy,50,440,3,73.4,289,1,1,3,3,0,0,0.5,False,True,False,False
2024-01-04 19:58:15,Truck_4,-64.0954,-155.4074,272,23.4,57.2,Clear,51,419,6,63.1,159,1,1,3,19,0,0,0.6666666666666666,False,False,False,False
2024-01-04 22:52:43,Truck_5,-22.4793,-54.5143,130,23.7,68.1,Clear,45,487,4,84.1,256,1,1,3,22,0,0,,False,False,True,False
2024-01-04 23:32:40,Truck_6,-27.4913,-1.8571,332,21.7,58.9,Heavy,33,363,6,90.1,131,1,1,3,23,0,0,,False,True,False,True
2024-01-05 03:23:06,Truck_9,16.9737,-7.8198,145,23.3,70.3,Detour,44,421,2,93.9,286,0,1,4,3,0,0,,False,True,False,False
2024-01-05 21:06:52,Truck_4,-77.8133,-89.1179,155,30.0,64.5,Detour,33,342,6,88.2,179,1,1,4,21,0,0,0.75,False,False,False,True
2024-01-05 22:46:26,Truck_3,16.7636,29.2783,429,27.7,75.0,Heavy,12,446,4,65.7,203,1,1,4,22,0,0,1.0,False,True,False,False
2024-01-06 05:22:59,Truck_10,-20.073,169.5863,356,24.8,70.0,Detour,37,345,3,84.0,245,1,1,5,5,1,0,0.6666666666666666,False,False,True,False
2024-01-06 21:16:03,Truck_4,-67.7619,176.4012,454,21.0,77.3,Clear,15,112,10,73.2,237,1,1,5,21,1,0,0.8,False,False,False,True
2024-01-07 09:13:28,Truck_6,-74.1751,-102.7331,314,19.9,64.8,Detour,57,396,10,78.6,135,0,1,6,9,1,0,1.0,True,False,False,True
2024-01-07 12:49:12,Truck_4,-46.3051,-93.1541,276,24.9,77.0,Detour,60,467,4,84.6,292,0,1,6,12,1,0,0.8333333333333334,True,False,False,True
2024-01-07 15:00:38,Truck_9,30.5875,132.7309,203,19.2,63.6,Heavy,31,123,9,84.1,270,1,1,6,15,1,0,0.0,False,False,False,False
2024-01-08 09:23:32,Truck_9,7.8031,43.4739,258,26.8,60.5,Clear,12,413,8,86.9,207,0,1,0,9,0,0,0.5,True,False,False,True
2024-01-08 10:20:44,Truck_2,70.0103,-164.1914,172,25.5,55.7,Detour,25,259,1,65.2,255,0,1,0,10,0,0,0.0,True,False,True,False
2024-01-08 14:39:40,Truck_7,87.018,-27.3053,201,27.9,64.4,Clear,30,198,7,93.9,276,1,1,0,14,0,0,0.5,False,False,False,True
2024-01-08 21:16:45,Truck_5,-9.1109,76.762,123,19.3,63.4,Detour,35,303,3,64.9,240,0,1,0,21,0,0,1.0,True,False,False,False
2024-01-09 03:30:54,Truck_5,50.475,-168.8578,187,24.5,73.1,Clear,23,382,7,67.4,149,0,1,1,3,0,0,0.5,False,True,False,True
2024-01-09 08:52:44,Truck_7,6.009,-33.838,461,18.6,74.6,Heavy,23,185,4,77.8,215,1,1,1,8,0,0,0.6666666666666666,True,False,True,False
2024-01-09 21:49:29,Truck_2,88.528,-0.3595,375,19.2,72.9,Detour,58,119,7,96.9,213,1,1,1,21,0,0,0.0,False,False,False,False
2024-01-09 23:18:24,Truck_7,1.3295,83.6357,483,28.6,72.4,Clear,51,243,1,73.7,167,1,1,1,23,0,0,0.75,False,False,True,False
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,22.0,53.5,Clear,28,360,4,69.8,171,1,1,1,23,0,0,0.3333333333333333,False,False,False,False
2024-01-10 01:05:25,Truck_9,-73.8211,3.187,386,26.6,78.2,Detour,19,456,7,87.6,290,0,1,2,1,0,0,0.5,True,False,True,False
2024-01-10 12:44:17,Truck_10,49.9465,-30.0236,355,20.2,51.3,Clear,49,323,4,72.6,100,0,1,2,12,0,0,0.75,True,False,False,False
2024-01-10 16:52:14,Truck_1,49.3049,-55.6493,199,23.4,64.4,Heavy,59,476,10,81.3,123,1,1,2,16,0,0,,True,False,True,False
2024-01-10 20:02:28,Truck_1,47.5481,-97.4831,465,24.0,72.4,Heavy,48,112,8,97.1,212,1,1,2,20,0,0,1.0,False,False,False,False
2024-01-11 03:09:35,Truck_3,-84.3224,76.1163,258,23.3,71.8,Heavy,20,466,7,80.6,277,1,1,3,3,0,0,1.0,True,False,True,False
2024-01-11 15:19:53,Truck_5,46.9009,3.749,419,22.1,74.7,Detour,31,236,10,95.9,182,0,1,3,15,0,0,0.3333333333333333,True,False,True,False
2024-01-11 20:19:14,Truck_10,61.697,164.5493,410,24.5,62.4,Clear,40,172,5,86.2,225,0,1,3,20,0,0,0.6,False,True,False,False
2024-01-12 02:20:39,Truck_4,-34.4433,-4.0669,128,29.0,71.0,Detour,12,404,8,81.3,272,1,1,4,2,0,0,0.7142857142857143,False,False,True,False
2024-01-12 17:01:33,Truck_9,68.181,-84.9051,179,24.2,50.2,Clear,31,485,10,75.8,255,1,1,4,17,0,0,0.4,False,False,False,False
2024-01-13 15:51:27,Truck_1,23.2259,110.6901,147,18.7,68.5,Heavy,25,439,9,75.2,266,1,1,5,15,1,0,1.0,False,True,False,False
2024-01-13 16:35:47,Truck_9,19.3645,-149.4523,169,28.6,78.8,Heavy,27,482,4,80.5,122,1,1,5,16,1,0,0.5,False,True,True,False
2024-01-13 18:59:02,Truck_6,14.1533,164.1186,286,25.0,68.4,Heavy,50,382,5,71.9,283,1,1,5,18,1,0,0.5,False,True,False,True
2024-01-13 21:07:39,Truck_1,-12.4175,135.9866,339,26.4,73.8,Clear,58,488,3,89.3,299,1,1,5,21,1,0,1.0,False,False,False,False
2024-01-13 21:47:31,Truck_5,-40.8275,-46.7423,324,25.5,65.2,Clear,51,233,9,90.2,145,1,1,5,21,1,0,0.25,False,False,True,False
2024-01-14 09:22:40,Truck_2,17.6483,114.2638,455,22.9,79.6,Detour,51,410,9,84.9,233,0,1,6,9,1,0,0.3333333333333333,True,False,False,True
2024-01-14 20:39:14,Truck_2,-24.0118,111.4726,240,18.8,63.9,Detour,23,462,1,61.2,276,0,1,6,20,1,0,0.25,True,False,False,False
2024-01-15 07:48:38,Truck_10,71.2228,-86.3993,334,28.9,62.8,Clear,15,106,5,97.2,127,0,1,0,7,0,0,0.5,True,False,False,True
2024-01-15 08:13:04,Truck_6,14.4593,157.9293,487,18.7,62.0,Detour,35,432,9,72.3,247,1,1,0,8,0,0,0.6666666666666666,False,False,False,False
2024-01-15 12:01:25,Truck_1,-20.0696,-73.2689,486,29.1,78.4,Clear,21,158,7,62.6,243,0,1,0,12,0,0,1.0,True,False,False,False
2024-01-16 04:10:14,Truck_6,-46.9621,87.6972,419,27.0,56.7,Detour,25,378,2,74.3,212,0,1,1,4,0,0,0.75,False,True,False,False
2024-01-16 09:47:08,Truck_10,49.7431,156.3216,256,22.3,66.3,Heavy,10,462,1,95.5,276,1,1,1,9,0,0,0.42857142857142855,True,False,False,True
2024-01-16 17:28:55,Truck_7,7.0557,-122.6525,380,27.1,71.5,Clear,23,373,3,97.1,286,1,1,1,17,0,0,0.8,False,False,False,False
2024-01-17 03:33:56,Truck_10,-12.9902,176.1206,399,23.4,71.7,Heavy,12,239,1,67.6,156,1,1,2,3,0,0,0.5,True,False,False,False
2024-01-17 04:29:26,Truck_1,-60.3563,95.7232,292,22.7,61.0,Clear,42,358,9,77.7,256,0,1,2,4,0,0,0.8,True,False,False,False
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,26.4,77.2,Clear,14,183,2,69.6,206,0,1,3,8,0,0,0.5714285714285714,True,False,False,False
2024-01-18 08:34:25,Truck_2,-34.2189,-36.6288,491,25.5,50.3,Heavy,18,111,1,97.1,100,1,1,3,8,0,0,0.2,True,False,False,True
2024-01-18 17:13:48,Truck_1,35.8055,-41.1532,299,22.4,64.2,Clear,54,303,1,88.1,125,0,1,3,17,0,0,0.6666666666666666,True,False,True,False
2024-01-19 00:15:26,Truck_7,-73.0477,124.7969,223,19.5,55.6,Clear,23,154,4,62.9,217,0,1,4,0,0,0,0.8333333333333334,False,True,False,True
2024-01-19 06:42:30,Truck_5,14.6629,116.0696,409,27.5,66.6,Detour,29,492,3,72.6,204,1,1,4,6,0,0,0.4,False,False,False,False
2024-01-19 14:28:30,Truck_6,67.7302,-70.1861,166,29.4,59.5,Heavy,40,210,4,82.9,246,1,1,4,14,0,0,0.6,False,True,True,False
2024-01-20 14:38:55,Truck_10,38.825,-51.8451,437,23.3,61.6,Heavy,45,177,5,93.3,106,1,1,5,14,1,0,0.5555555555555556,False,False,False,False
2024-01-20 21:06:05,Truck_1,69.6413,1.4327,332,18.8,74.7,Heavy,16,279,2,61.8,289,1,1,5,21,1,0,0.5714285714285714,False,False,False,False
2024-01-21 03:11:55,Truck_2,-84.0049,111.8327,184,19.2,59.8,Heavy,23,126,4,90.4,200,1,1,6,3,1,0,0.3333333333333333,False,False,False,False
2024-01-21 09:04:01,Truck_9,86.1935,59.4987,419,26.5,56.2,Detour,15,277,2,68.3,280,0,1,6,9,1,0,0.5,True,False,False,True
2024-01-21 12:56:09,Truck_1,54.3099,-98.941,311,28.9,77.8,Heavy,43,415,1,76.4,210,1,1,6,12,1,0,0.625,False,False,False,False
2024-01-21 13:17:03,Truck_1,1.429,-119.0925,334,26.6,74.1,Detour,10,317,3,73.0,184,1,1,6,13,1,0,0.6666666666666666,False,False,True,False
2024-01-21 23:13:40,Truck_5,28.1016,167.1982,356,18.4,75.2,Clear,32,291,6,90.7,206,0,1,6,23,1,0,0.5,False,True,False,False
2024-01-22 00:34:19,Truck_5,-28.8968,-117.9471,405,28.0,67.7,Clear,48,348,3,78.3,213,0,1,0,0,0,0,0.42857142857142855,False,True,False,False
2024-01-23 05:35:54,Truck_9,70.5541,-150.1626,356,19.5,63.1,Clear,16,118,3,77.8,230,0,1,1,5,0,0,0.4444444444444444,True,False,False,False
2024-01-23 18:52:56,Truck_8,-89.7784,-163.7965,247,28.3,76.2,Clear,53,190,10,93.6,111,1,1,1,18,0,0,,False,False,False,False
2024-01-24 08:44:24,Truck_3,-12.2885,38.4287,231,28.2,67.2,Clear,50,221,1,84.8,270,0,1,2,8,0,0,1.0,True,False,False,False
2024-01-25 11:27:54,Truck_2,-38.2185,104.1667,349,19.4,62.7,Detour,19,296,3,72.3,177,0,1,3,11,0,0,0.42857142857142855,True,False,False,False
2024-01-25 12:09:42,Truck_6,12.8172,76.1408,401,25.7,71.4,Clear,30,494,4,81.1,175,0,1,3,12,0,0,0.6666666666666666,False,True,False,True
2024-01-25 20:15:13,Truck_2,-32.2146,166.7941,213,25.0,72.7,Detour,51,353,8,82.6,227,0,1,3,20,0,0,0.375,True,False,False,False
2024-01-26 05:00:06,Truck_8,29.7128,-51.8993,277,29.2,56.9,Detour,24,100,2,84.2,164,0,1,4,5,0,0,1.0,True,False,False,False
2024-01-26 08:28:52,Truck_3,86.6663,-8.1036,302,19.5,64.5,Detour,38,149,10,69.0,213,0,1,4,8,0,0,0.75,True,False,False,False
2024-01-26 12:56:30,Truck_5,-89.7915,85.8036,305,20.5,71.2,Detour,44,302,10,71.9,141,0,1,4,12,0,0,0.375,False,True,False,True
2024-01-26 17:18:01,Truck_7,-80.9601,52.614,158,29.7,78.2,Heavy,43,334,5,72.7,181,1,1,4,17,0,0,0.7142857142857143,False,True,False,True
2024-01-27 01:05:38,Truck_10,71.4327,127.3664,284,22.1,77.2,Heavy,16,226,4,95.8,206,1,1,5,1,1,0,0.6,False,True,False,False
2024-01-27 04:09:11,Truck_7,52.7828,176.0671,244,23.6,64.9,Clear,24,145,4,67.6,285,0,1,5,4,1,0,0.75,True,False,False,False
2024-01-27 15:36:15,Truck_8,11.5213,-168.4741,403,23.1,69.3,Detour,24,487,10,69.6,104,0,1,5,15,1,0,0.5,True,False,False,False
2024-01-28 02:18:52,Truck_3,17.5448,-68.5291,107,28.6,54.6,Detour,52,180,1,89.8,194,0,1,6,2,1,0,0.6,False,True,True,False
2024-01-28 04:43:23,Truck_1,-7.636,51.0615,317,23.9,69.5,Clear,59,447,1,97.1,294,0,1,6,4,1,0,0.7,False,True,False,True
2024-01-28 23:24:51,Truck_7,23.9592,-88.7602,443,18.9,68.8,Clear,36,159,2,86.3,171,0,1,6,23,1,0,0.6666666666666666,True,False,False,True
2024-01-29 14:54:57,Truck_1,47.5743,144.998,152,18.7,68.6,Clear,51,483,2,87.8,163,0,1,0,14,0,0,0.6363636363636364,False,True,False,True
2024-01-29 19:22:37,Truck_9,-40.5556,55.0777,177,25.6,71.9,Detour,20,193,6,95.5,182,0,1,0,19,0,0,0.4,True,False,False,False
2024-01-29 21:04:08,Truck_5,-15.6005,-92.1974,130,18.1,78.3,Heavy,39,424,9,92.3,143,1,1,0,21,0,0,0.3333333333333333,True,False,True,False
2024-01-30 00:58:41,Truck_3,58.3197,0.0698,121,27.2,71.1,Detour,44,340,8,74.6,286,0,1,1,0,0,0,0.5,False,True,False,False
2024-01-30 08:32:53,Truck_6,-9.0289,-69.4256,338,27.3,70.1,Heavy,29,129,1,82.4,281,1,1,1,8,0,0,0.5714285714285714,True,False,False,False
2024-01-30 15:36:36,Truck_2,-62.0623,133.8872,373,27.6,65.8,Heavy,23,396,1,79.3,126,1,1,1,15,0,0,0.3333333333333333,False,False,True,False
2024-01-31 00:01:35,Truck_1,88.3545,123.8561,469,21.5,52.2,Heavy,56,405,10,95.5,135,1,1,2,0,0,0,0.5833333333333334,False,True,False,True
2024-01-31 05:31:37,Truck_5,44.5442,-73.4346,467,19.3,62.1,Detour,39,180,8,63.8,145,0,1,2,5,0,0,0.4,True,False,False,False
2024-02-01 18:55:10,Truck_3,35.6522,-84.7025,159,26.9,69.5,Clear,32,272,7,69.7,278,0,2,3,18,0,0,0.42857142857142855,True,False,False,False
2024-02-02 03:46:54,Truck_3,23.2931,106.0267,368,28.0,53.4,Detour,42,182,5,77.5,205,0,2,4,3,0,0,0.375,True,False,False,False
2024-02-02 12:17:02,Truck_6,27.4437,43.3224,246,25.3,57.4,Clear,33,298,8,70.4,110,1,2,4,12,0,0,0.625,False,False,True,False
2024-02-02 12:51:41,Truck_8,77.7678,-165.1979,141,27.7,55.0,Clear,12,432,10,87.5,278,1,2,4,12,0,0,0.3333333333333333,False,False,False,False
2024-02-02 22:24:18,Truck_3,21.5738,-95.1501,403,29.5,76.6,Heavy,36,379,2,66.7,242,1,2,4,22,0,0,0.3333333333333333,True,False,False,False
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,29.7,63.6,Detour,13,406,10,85.5,238,0,2,4,22,0,0,0.6363636363636364,True,False,True,False
2024-02-04 01:08:26,Truck_10,-13.6168,-165.0825,349,21.1,55.1,Heavy,13,453,10,65.1,111,1,2,6,1,1,0,0.5833333333333334,False,True,False,True
2024-02-04 05:26:36,Truck_8,32.7849,30.955,377,19.5,51.0,Detour,11,226,8,64.1,266,1,2,6,5,1,0,0.5,False,False,False,True
2024-02-04 18:55:58,Truck_5,61.8444,107.4835,245,24.2,56.9,Detour,39,379,2,66.4,183,0,2,6,18,1,0,0.36363636363636365,False,True,True,False
2024-02-04 20:41:18,Truck_2,-7.2601,52.512,117,28.0,73.9,Heavy,55,156,10,63.7,277,1,2,6,20,1,0,0.4,False,False,False,True
2024-02-05 00:41:30,Truck_6,-23.2424,18.6206,119,25.9,77.7,Clear,38,189,7,79.3,149,0,2,0,0,0,0,0.6666666666666666,True,False,False,True
2024-02-05 00:48:18,Truck_2,20.3388,-109.3313,378,21.0,60.8,Heavy,30,318,3,84.8,181,1,2,0,0,0,0,0.45454545454545453,False,True,False,True
2024-02-05 03:19:43,Truck_5,28.3461,-1.5547,457,27.9,78.6,Heavy,18,461,6,69.1,137,1,2,0,3,0,0,0.3333333333333333,True,False,False,True
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,20.7,75.4,Clear,32,263,3,73.3,198,1,2,0,8,0,0,0.75,False,False,False,False
