threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.0,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.001,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.002,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.003,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.004,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.005,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.006,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.007,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.008,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.009000000000000001,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.01,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.011,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.012,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.013000000000000001,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.014,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.015,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.016,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.017,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.018000000000000002,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.019,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.02,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.021,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.022,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.023,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.024,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.025,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.026000000000000002,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.027,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.028,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.029,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.03,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.031,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.032,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.033,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.034,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.035,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.036000000000000004,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.037,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.038,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.039,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.04,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.041,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
0.042,0.5666666666666667,1.0,0.723404255319149,85,65,0,0,1.0,1.0
